x,y,z
1.785381889343261719e+01,1.191765308380126953e+00,1.370338439941406250e+00
1.800227355957031250e+01,1.201149225234985352e+00,1.370338439941406250e+00
1.815073013305664062e+01,1.210533261299133301e+00,1.370338439941406250e+00
1.829918479919433594e+01,1.219917178153991699e+00,1.370338439941406250e+00
1.844764137268066406e+01,1.229301214218139648e+00,1.370338439941406250e+00
1.859609413146972656e+01,1.238685131072998047e+00,1.370338439941406250e+00
1.874455070495605469e+01,1.248069167137145996e+00,1.370338439941406250e+00
1.889300537109375000e+01,1.257453083992004395e+00,1.370338439941406250e+00
1.904146194458007812e+01,1.266837120056152344e+00,1.370338439941406250e+00
1.918991661071777344e+01,1.276221036911010742e+00,1.370338439941406250e+00
1.933837127685546875e+01,1.285605072975158691e+00,1.370338439941406250e+00
1.948682785034179688e+01,1.294988989830017090e+00,1.370338439941406250e+00
1.963528251647949219e+01,1.304373025894165039e+00,1.370338439941406250e+00
1.978373718261718750e+01,1.313756942749023438e+00,1.370338439941406250e+00
1.993219184875488281e+01,1.323140978813171387e+00,1.370338439941406250e+00
2.008064842224121094e+01,1.332524895668029785e+00,1.370338439941406250e+00
2.022910308837890625e+01,1.341908931732177734e+00,1.370338439941406250e+00
2.037755775451660156e+01,1.351292848587036133e+00,1.370338439941406250e+00
2.052601432800292969e+01,1.360676884651184082e+00,1.370338439941406250e+00
2.067446899414062500e+01,1.370060801506042480e+00,1.370338439941406250e+00
2.082292556762695312e+01,1.379444837570190430e+00,1.370338439941406250e+00
2.097137832641601562e+01,1.388828754425048828e+00,1.370338439941406250e+00
2.111983489990234375e+01,1.398212790489196777e+00,1.370338439941406250e+00
2.126828956604003906e+01,1.407596707344055176e+00,1.370338439941406250e+00
2.141674613952636719e+01,1.416980743408203125e+00,1.370338439941406250e+00
2.156520080566406250e+01,1.426364660263061523e+00,1.370338439941406250e+00
2.171365547180175781e+01,1.435748696327209473e+00,1.370338439941406250e+00
2.186211204528808594e+01,1.445132613182067871e+00,1.370338439941406250e+00
2.201056671142578125e+01,1.454516649246215820e+00,1.370338439941406250e+00
2.215902137756347656e+01,1.463900566101074219e+00,1.370338439941406250e+00
2.230747604370117188e+01,1.473284602165222168e+00,1.370338439941406250e+00
2.245593261718750000e+01,1.482668519020080566e+00,1.370338439941406250e+00
2.260438728332519531e+01,1.492052555084228516e+00,1.370338439941406250e+00
2.275284194946289062e+01,1.501436471939086914e+00,1.370338439941406250e+00
2.290130043029785156e+01,1.510820627212524414e+00,1.370338439941406250e+00
2.304975509643554688e+01,1.520204544067382812e+00,1.370338439941406250e+00
2.319821166992187500e+01,1.529588580131530762e+00,1.370338439941406250e+00
2.334666442871093750e+01,1.538972496986389160e+00,1.370338439941406250e+00
2.349512100219726562e+01,1.548356533050537109e+00,1.370338439941406250e+00
2.364357566833496094e+01,1.557740449905395508e+00,1.370338439941406250e+00
2.379203224182128906e+01,1.567124485969543457e+00,1.370338439941406250e+00
2.394048690795898438e+01,1.576508402824401855e+00,1.370338439941406250e+00
2.408894157409667969e+01,1.585892438888549805e+00,1.370338439941406250e+00
